Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,"₹ 2,086","₹ 3,335",3,No,14,3,3,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,"₹ 2,293","₹ 3,020",2,Yes,16,3,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,"₹ 2,645","₹ 21,923",1,No,12,3,4,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,"₹ 2,683","₹ 3,810",1,Yes,14,3,3,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,"₹ 2,014","₹ 9,687",1,No,13,3,1,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,"₹ 3,419","₹ 13,072",9,Yes,14,3,4,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,"₹ 5,376","₹ 3,193",2,No,19,3,1,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,"₹ 1,951","₹ 10,910",1,No,12,3,3,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,"₹ 2,341","₹ 19,715",1,No,13,3,4,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,"₹ 2,293","₹ 10,558",1,No,12,3,3,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,"₹ 8,726","₹ 2,975",1,No,15,3,4,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,"₹ 4,011","₹ 10,781",1,No,23,4,4,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,"₹ 19,545","₹ 16,280",1,No,12,3,4,23,0,3,22,15,15,8
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,"₹ 4,568","₹ 10,034",0,No,20,4,3,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,"₹ 3,022","₹ 10,227",4,No,21,4,1,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,"₹ 5,772","₹ 20,445",4,Yes,21,4,3,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,"₹ 2,269","₹ 4,892",1,No,19,3,4,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,"₹ 5,381","₹ 19,294",9,Yes,13,3,4,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,"₹ 3,441","₹ 11,179",1,Yes,13,3,3,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,"₹ 5,454","₹ 4,009",5,Yes,21,4,3,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,"₹ 9,884","₹ 8,302",2,Yes,13,3,3,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,"₹ 4,157","₹ 21,436",7,Yes,19,3,3,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,"₹ 13,458","₹ 15,146",1,Yes,12,3,3,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,"₹ 9,069","₹ 11,031",1,No,22,4,4,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,"₹ 4,014","₹ 16,002",3,Yes,15,3,3,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,"₹ 5,915","₹ 9,528",3,No,22,4,4,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,"₹ 5,993","₹ 2,689",1,No,18,3,3,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,"₹ 6,162","₹ 10,877",1,Yes,22,4,2,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,"₹ 2,406","₹ 5,456",1,No,11,3,4,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,"₹ 18,740","₹ 16,701",5,Yes,12,3,4,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,"₹ 7,637","₹ 2,354",7,No,11,3,4,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,"₹ 10,096","₹ 8,202",1,No,13,3,2,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,"₹ 14,756","₹ 19,730",2,Yes,14,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,"₹ 6,499","₹ 22,656",1,No,13,3,3,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,"₹ 9,724","₹ 18,787",2,No,17,3,3,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,"₹ 2,194","₹ 5,868",4,No,13,3,4,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,"₹ 3,388","₹ 21,777",0,Yes,17,3,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,"₹ 5,473","₹ 24,668",7,No,11,3,4,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,"₹ 2,703","₹ 4,956",0,No,23,4,4,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,"₹ 2,501","₹ 18,775",1,No,17,3,2,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,"₹ 6,220","₹ 7,346",1,No,17,3,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,"₹ 3,038","₹ 22,002",3,No,12,3,2,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,"₹ 4,424","₹ 20,682",1,No,23,4,4,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,"₹ 4,312","₹ 23,016",0,No,14,3,2,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,"₹ 13,245","₹ 15,067",4,Yes,14,3,2,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,"₹ 13,664","₹ 25,258",4,No,13,3,1,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,"₹ 5,021","₹ 10,425",8,Yes,22,4,4,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,"₹ 5,126","₹ 15,998",1,Yes,12,3,3,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,"₹ 2,859","₹ 26,278",1,No,18,3,1,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,"₹ 10,239","₹ 18,092",3,No,14,3,4,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,"₹ 5,329","₹ 15,717",7,Yes,12,3,4,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,"₹ 4,325","₹ 17,736",1,No,15,3,3,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,"₹ 7,260","₹ 21,698",4,No,11,3,1,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,"₹ 2,322","₹ 9,518",3,No,13,3,3,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,"₹ 2,075","₹ 18,725",3,No,23,4,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,"₹ 4,152","₹ 15,830",1,No,19,3,1,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,"₹ 9,619","₹ 13,596",1,No,16,3,4,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,"₹ 13,503","₹ 14,115",1,No,22,4,4,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,"₹ 5,441","₹ 8,423",0,Yes,22,4,4,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,"₹ 5,209","₹ 19,760",1,Yes,12,3,2,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,"₹ 10,673","₹ 3,142",2,Yes,13,3,3,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,"₹ 5,010","₹ 24,301",1,No,16,3,1,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,"₹ 13,549","₹ 24,001",9,No,12,3,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,"₹ 4,999","₹ 17,519",0,No,21,4,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,"₹ 4,221","₹ 8,863",1,No,15,3,2,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,"₹ 13,872","₹ 24,409",0,No,13,3,3,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,"₹ 2,042","₹ 25,043",4,No,12,3,3,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,"₹ 2,073","₹ 23,648",4,Yes,22,4,4,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,"₹ 2,956","₹ 15,178",1,No,13,3,4,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,"₹ 2,926","₹ 19,783",1,Yes,18,3,2,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,"₹ 4,809","₹ 12,482",1,No,14,3,3,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,"₹ 5,163","₹ 15,850",5,No,14,3,4,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,"₹ 18,844","₹ 21,922",9,No,21,4,4,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,"₹ 18,172","₹ 9,755",3,Yes,19,3,1,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,"₹ 5,744","₹ 26,959",1,Yes,11,3,4,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,"₹ 2,889","₹ 26,897",1,No,11,3,3,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,"₹ 2,871","₹ 23,785",1,No,15,3,3,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,"₹ 7,484","₹ 25,796",3,No,20,4,3,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,"₹ 6,074","₹ 22,887",1,Yes,24,4,4,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,"₹ 17,328","₹ 13,871",2,Yes,12,3,3,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,"₹ 2,774","₹ 13,257",0,No,12,3,3,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,"₹ 4,505","₹ 15,000",6,No,15,3,3,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,"₹ 7,428","₹ 14,506",2,No,12,3,1,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,"₹ 11,631","₹ 5,615",2,No,12,3,4,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,"₹ 9,738","₹ 22,952",0,No,14,3,3,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,"₹ 2,835","₹ 2,561",5,No,22,4,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,"₹ 16,959","₹ 19,494",1,Yes,12,3,4,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,"₹ 2,613","₹ 22,310",1,No,25,4,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,"₹ 6,146","₹ 15,480",0,No,13,3,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,"₹ 4,963","₹ 4,510",9,Yes,18,3,1,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,"₹ 19,537","₹ 6,462",7,No,13,3,3,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,"₹ 6,172","₹ 20,739",4,Yes,18,3,2,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,"₹ 2,368","₹ 23,300",1,No,19,3,3,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,"₹ 10,312","₹ 3,465",1,No,12,3,4,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,"₹ 1,675","₹ 26,820",1,Yes,19,3,4,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,"₹ 2,523","₹ 19,299",0,No,14,3,3,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,"₹ 6,567","₹ 5,549",1,No,14,3,3,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,"₹ 4,739","₹ 16,090",4,No,12,3,4,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,"₹ 9,208","₹ 6,645",4,No,11,3,4,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,"₹ 4,559","₹ 24,788",3,Yes,11,3,3,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,"₹ 8,189","₹ 21,196",3,Yes,13,3,3,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,"₹ 2,942","₹ 8,916",1,No,23,4,4,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,"₹ 4,941","₹ 2,819",6,No,20,4,4,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,"₹ 10,650","₹ 25,150",2,No,15,3,4,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,"₹ 5,902","₹ 14,590",4,No,14,3,3,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,"₹ 8,639","₹ 24,835",2,No,18,3,4,6,3,3,2,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,"₹ 6,347","₹ 13,982",0,Yes,19,3,4,12,2,1,11,9,4,7
